"w","datetime","min","max","mean","idw","lon","lat"
"1","2016-10-31","","","","-1.0","-46.7683581866","-24.0033733495"
"1","2016-11-01","0.0","0.0","0.0","-288.0","-46.7683581866","-24.0033733495"
"1","2016-11-02","1.99","4.84","3.15","-288.0","-46.7683581866","-24.0033733495"
"1","2016-11-03","4.45","12.3","8.02","-288.0","-46.7683581866","-24.0033733495"
"1","2016-11-04","0.15","0.62","0.32","-288.0","-46.7683581866","-24.0033733495"
"1","2016-11-05","0.0","0.0","0.0","-288.0","-46.7683581866","-24.0033733495"
"1","2016-11-06","0.0","0.0","0.0","-288.0","-46.7683581866","-24.0033733495"
"1","2016-11-07","0.0","0.03","0.01","-288.0","-46.7683581866","-24.0033733495"
"1","2016-11-08","0.0","0.0","0.0","-288.0","-46.7683581866","-24.0033733495"
"1","2016-11-09","31.68","77.83","52.37","-288.0","-46.7683581866","-24.0033733495"
"1","2016-11-10","4.98","13.89","8.84","-288.0","-46.7683581866","-24.0033733495"
"1","2016-11-11","4.74","8.6","6.57","-288.0","-46.7683581866","-24.0033733495"
"1","2016-11-12","0.03","0.18","0.09","-288.0","-46.7683581866","-24.0033733495"
"1","2016-11-13","7.32","16.91","11.78","-288.0","-46.7683581866","-24.0033733495"
"1","2016-11-14","6.29","12.61","9.2","-287.0","-46.7683581866","-24.0033733495"
"1","2016-11-15","","","","-1.0","-46.7683581866","-24.0033733495"
"1","2016-11-16","18.61","34.46","26.59","-288.0","-46.7683581866","-24.0033733495"
"1","2016-11-17","2.82","8.23","5.6","-288.0","-46.7683581866","-24.0033733495"
"1","2016-11-18","1.15","2.6","1.88","-287.0","-46.7683581866","-24.0033733495"
"1","2016-11-19","0.0","0.0","0.0","0.0","-46.7683581866","-24.0033733495"
"1","2016-11-20","0.0","0.0","0.0","0.0","-46.7683581866","-24.0033733495"
"1","2016-11-21","0.0","0.0","0.0","0.0","-46.7683581866","-24.0033733495"
"1","2016-11-22","","","","-1.0","-46.7683581866","-24.0033733495"
"1","2016-11-23","0.0","0.02","0.01","-288.0","-46.7683581866","-24.0033733495"
"1","2016-11-24","0.0","0.0","0.0","-287.0","-46.7683581866","-24.0033733495"
"1","2016-11-25","0.0","0.0","0.0","0.0","-46.7683581866","-24.0033733495"
"1","2016-11-26","","","","-1.0","-46.7683581866","-24.0033733495"
"1","2016-11-27","0.0","0.0","0.0","-288.0","-46.7683581866","-24.0033733495"
"1","2016-11-28","4.0","7.6","5.68","-288.0","-46.7683581866","-24.0033733495"
"1","2016-11-29","14.47","35.07","24.42","-288.0","-46.7683581866","-24.0033733495"
"1","2016-11-30","0.11","0.34","0.22","-287.0","-46.7683581866","-24.0033733495"
"1","2016-12-01","0.0","0.0","0.0","0.0","-46.7683581866","-24.0033733495"
"1","2016-12-02","","","","-1.0","-46.7683581866","-24.0033733495"
"1","2016-12-03","4.57","12.82","8.78","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-04","0.18","1.08","0.58","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-05","0.0","0.02","0.0","-287.0","-46.7683581866","-24.0033733495"
"1","2016-12-06","","","","-1.0","-46.7683581866","-24.0033733495"
"1","2016-12-07","0.62","1.98","1.23","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-08","5.66","11.73","8.85","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-09","0.0","0.0","0.0","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-10","4.47","14.44","9.41","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-11","5.76","11.92","8.46","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-12","10.59","22.66","16.49","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-13","1.9","4.56","3.09","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-14","0.02","0.56","0.23","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-15","0.0","0.0","0.0","-287.0","-46.7683581866","-24.0033733495"
"1","2016-12-16","0.0","0.0","0.0","0.0","-46.7683581866","-24.0033733495"
"1","2016-12-17","","","","-1.0","-46.7683581866","-24.0033733495"
"1","2016-12-18","0.0","0.0","0.0","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-19","11.21","41.78","23.58","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-20","4.91","19.71","11.25","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-21","11.31","31.31","20.95","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-22","0.0","0.0","0.0","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-23","0.33","0.97","0.64","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-24","0.0","0.01","0.0","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-25","0.0","0.0","0.0","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-26","0.0","0.0","0.0","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-27","0.89","2.44","1.53","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-28","0.0","0.0","0.0","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-29","0.0","0.18","0.04","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-30","0.0","0.0","0.0","-288.0","-46.7683581866","-24.0033733495"
"1","2016-12-31","0.04","0.32","0.15","-287.0","-46.7683581866","-24.0033733495"
"1","2017-01-01","","","","-1.0","-46.7683581866","-24.0033733495"
"1","2017-01-02","17.95","40.61","28.2","-288.0","-46.7683581866","-24.0033733495"
"1","2017-01-03","0.08","0.23","0.16","-288.0","-46.7683581866","-24.0033733495"
"1","2017-01-04","0.01","0.24","0.1","-288.0","-46.7683581866","-24.0033733495"
"1","2017-01-05","0.24","0.67","0.45","-288.0","-46.7683581866","-24.0033733495"
"1","2017-01-06","6.95","23.71","14.06","-288.0","-46.7683581866","-24.0033733495"
"1","2017-01-07","0.39","1.97","0.99","-288.0","-46.7683581866","-24.0033733495"
"1","2017-01-08","0.0","0.0","0.0","-288.0","-46.7683581866","-24.0033733495"
"1","2017-01-09","8.23","17.3","12.38","-288.0","-46.7683581866","-24.0033733495"
"1","2017-01-10","0.0","0.07","0.02","-288.0","-46.7683581866","-24.0033733495"
"1","2017-01-11","7.54","44.32","24.8","-288.0","-46.7683581866","-24.0033733495"
"1","2017-01-12","27.27","75.89","48.95","-288.0","-46.7683581866","-24.0033733495"
