"w","datetime","min","max","mean","idw","lon","lat"
"1","2016-11-01 00:00:00","","","","-1.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 01:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 02:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 03:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 04:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 05:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 06:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 07:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 08:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 09:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 10:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 11:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 12:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 13:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 14:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 15:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 16:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 17:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 18:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 19:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 20:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 21:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 22:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-01 23:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 00:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 01:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 02:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 03:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 04:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 05:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 06:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 07:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 08:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 09:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 10:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 11:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 12:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 13:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 14:00:00","","","","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 15:00:00","0.0","0.01","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 16:00:00","0.0","0.02","0.01","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 17:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 18:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 19:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 20:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 21:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 22:00:00","0.3","0.95","0.52","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-02 23:00:00","0.0","0.1","0.01","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 00:00:00","1.23","4.5","2.54","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 01:00:00","0.4","0.94","0.61","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 02:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 03:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 04:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 05:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 06:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 07:00:00","0.0","0.08","0.03","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 08:00:00","0.13","0.5","0.27","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 09:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 10:00:00","0.13","0.79","0.39","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 11:00:00","0.54","2.58","1.3","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 12:00:00","0.24","1.87","0.8","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 13:00:00","0.54","2.03","1.15","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 14:00:00","0.02","0.28","0.1","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 15:00:00","0.01","0.09","0.03","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 16:00:00","0.27","1.28","0.67","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 17:00:00","0.38","1.2","0.71","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 18:00:00","0.11","0.58","0.32","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 19:00:00","0.0","0.01","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 20:00:00","0.0","0.06","0.02","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 21:00:00","0.01","0.08","0.04","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 22:00:00","0.08","0.29","0.18","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-03 23:00:00","0.26","0.88","0.54","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-04 00:00:00","0.13","0.61","0.28","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-04 01:00:00","0.03","0.66","0.2","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-04 02:00:00","0.01","0.03","0.01","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-04 03:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-04 04:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-04 05:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-04 06:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-04 07:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-04 08:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-04 09:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-04 10:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-04 11:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-04 12:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-04 13:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-04 14:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-04 15:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-04 16:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
"1","2016-11-04 17:00:00","0.0","0.0","0.0","-12.0","-46.7653984458","-24.0007326234"
